Zip,DHI,DNI,Temperature,Total
11436,525651,1446668,12.01603881,1972319
11213,540131,1447343,11.7915411,1987474
11212,541880,1398490,11.91880137,1940370
11225,532165,1468781,11.95061644,2000946
11218,538004,1463146,11.72723744,2001150
11226,532165,1468781,11.95061644,2000946
11219,538004,1463146,11.72723744,2001150
11210,533361,1456913,12.04076484,1990274
11230,537061,1436042,11.89522831,1973103
11204,537061,1436042,11.89522831,1973103
10471,529625,1442172,11.3,1971797
10470,528581,1488171,11.2959589,2016752
10466,528581,1488171,11.2959589,2016752
10467,528581,1488171,11.2959589,2016752
10463,529625,1442172,11.3,1971797
10475,530952,1455904,11.3638242,1986856
10464,524282,1381314,11.5655137,1905596
10469,531968,1455146,11.52962329,1987114
10468,535557,1436205,11.42222603,1971762
10458,535557,1436205,11.42222603,1971762
10034,535557,1436205,11.42222603,1971762
10033,525945,1426467,11.4281621,1952412
10462,531968,1455146,11.52962329,1987114
10040,525945,1426467,11.4281621,1952412
10453,535557,1436205,11.42222603,1971762
10465,540968,1352496,11.61094749,1893464
10461,536431,1377429,11.54820776,1913860
10457,535557,1436205,11.42222603,1971762
10460,535557,1436205,11.42222603,1971762
10032,525945,1426467,11.4281621,1952412
10452,525945,1426467,11.4281621,1952412
10456,542810,1400334,11.5652968,1943144
10472,531968,1455146,11.52962329,1987114
10031,536764,1417030,11.60268265,1953794
10039,536764,1417030,11.60268265,1953794
10459,542810,1400334,11.5652968,1943144
10451,536764,1417030,11.60268265,1953794
10473,545170,1361031,11.60734018,1906201
10030,536764,1417030,11.60268265,1953794
10027,536764,1417030,11.60268265,1953794
10474,542810,1400334,11.5652968,1943144
10455,542810,1400334,11.5652968,1943144
10037,536764,1417030,11.60268265,1953794
10024,523846,1428080,11.65414384,1951926
10454,542810,1400334,11.5652968,1943144
10026,536764,1417030,11.60268265,1953794
10035,536764,1417030,11.60268265,1953794
10048,536299,1378946,11.76143836,1915245
10025,536115,1410015,11.27023973,1946130
11357,544238,1396483,11.60754566,1940721
10029,536764,1417030,11.60268265,1953794
11356,544161,1394573,11.69472603,1938734
11359,528630,1372388,11.53423516,1901018
11360,531217,1449892,11.60710046,1981109
11105,541340,1404086,11.67922374,1945426
10128,524320,1453092,11.69257991,1977412
10023,523846,1428080,11.65414384,1951926
11363,523222,1501758,11.50864155,2024980
10028,524320,1453092,11.69257991,1977412
11354,544238,1396483,11.60754566,1940721
11102,524320,1453092,11.69257991,1977412
11370,541340,1404086,11.67922374,1945426
10021,523846,1428080,11.65414384,1951926
11358,531217,1449892,11.60710046,1981109
11362,523222,1501758,11.50864155,2024980
10044,524320,1453092,11.69257991,1977412
11369,544161,1394573,11.69472603,1938734
11103,541340,1404086,11.67922374,1945426
11106,524320,1453092,11.69257991,1977412
11368,552358,1375334,11.74152968,1927692
11377,553087,1386590,11.76884703,1939677
11355,554288,1360373,11.69833333,1914661
11101,541582,1436014,11.81420091,1977596
11364,529080,1481698,11.8,2010778
10018,523846,1428080,11.65414384,1951926
10020,523846,1428080,11.65414384,1951926
11005,522247,1499968,11.49178082,2022215
10017,523846,1428080,11.65414384,1951926
10001,523846,1428080,11.65414384,1951926
10011,536299,1378946,11.76143836,1915245
10016,534500,1419212,11.74850457,1953712
11104,553087,1386590,11.76884703,1939677
11109,536863,1413993,11.99101598,1950856
10010,534500,1419212,11.74850457,1953712
11367,554288,1360373,11.69833333,1914661
10014,536299,1378946,11.76143836,1915245
10003,534500,1419212,11.74850457,1953712
11222,541582,1436014,11.81420091,1977596
