Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,2.6,-13.4
2018,1,1,1,30,0,0,2.6,-13.600000000000001
2018,1,1,2,30,0,0,2.5,-13.8
2018,1,1,3,30,0,0,2.5,-13.9
2018,1,1,4,30,0,0,2.5,-14.100000000000001
2018,1,1,5,30,0,0,2.5,-14.3
2018,1,1,6,30,0,0,2.5,-14.5
2018,1,1,7,30,12,116,2.6,-13.8
2018,1,1,8,30,52,369,2.8000000000000003,-12.100000000000001
2018,1,1,9,30,74,585,3.0,-10.4
2018,1,1,10,30,104,564,3.0,-9.200000000000001
2018,1,1,11,30,114,616,3.0,-8.3
2018,1,1,12,30,112,644,3.0,-7.7
2018,1,1,13,30,107,553,3.0,-7.4
2018,1,1,14,30,72,594,2.8000000000000003,-7.5
2018,1,1,15,30,52,379,2.6,-8.200000000000001
2018,1,1,16,30,12,117,2.4000000000000004,-9.3
2018,1,1,17,30,0,0,2.4000000000000004,-10.100000000000001
2018,1,1,18,30,0,0,2.3000000000000003,-10.4
2018,1,1,19,30,0,0,2.3000000000000003,-10.700000000000001
2018,1,1,20,30,0,0,2.5,-10.5
2018,1,1,21,30,0,0,2.7,-10.3
2018,1,1,22,30,0,0,2.9000000000000004,-10.5
2018,1,1,23,30,0,0,3.0,-10.600000000000001
2018,1,2,0,30,0,0,3.2,-10.600000000000001
2018,1,2,1,30,0,0,3.3000000000000003,-10.600000000000001
2018,1,2,2,30,0,0,3.3000000000000003,-10.4
2018,1,2,3,30,0,0,3.2,-10.3
2018,1,2,4,30,0,0,3.0,-10.5
2018,1,2,5,30,0,0,2.8000000000000003,-10.9
2018,1,2,6,30,0,0,2.6,-11.3
2018,1,2,7,30,12,88,2.5,-10.600000000000001
2018,1,2,8,30,54,345,2.6,-8.8
2018,1,2,9,30,84,517,2.6,-7.1000000000000005
2018,1,2,10,30,121,486,2.6,-5.800000000000001
2018,1,2,11,30,127,545,2.6,-4.800000000000001
2018,1,2,12,30,129,539,2.6,-4.1000000000000005
2018,1,2,13,30,116,521,2.7,-3.7
2018,1,2,14,30,75,567,2.6,-3.9000000000000004
2018,1,2,15,30,50,464,2.5,-5.1000000000000005
2018,1,2,16,30,14,152,2.5,-6.5
2018,1,2,17,30,0,0,2.6,-7.4
2018,1,2,18,30,0,0,2.6,-7.7
