Year, Month, DHI, DNI, Temperature
2018,1,21677.0,122684.0,-1129.899999999999
2018,2,25203.0,75227.0,2091.3999999999996
2018,3,42228.0,128657.0,1960.6999999999994
2018,4,55127.0,124063.0,5250.099999999998
2018,5,65829.0,127140.0,12180.999999999993
2018,6,71193.0,158953.0,14499.499999999995
2018,7,68838.0,179877.0,17972.5
2018,8,62827.0,154680.0,18253.200000000015
2018,9,45292.0,88981.0,15365.600000000002
2018,10,36646.0,106990.0,10397.400000000005
2018,11,22829.0,86344.0,4528.500000000002
2018,12,19576.0,87682.0,2464.3000000000015
