ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,new_temp,new_DHI,new_DNI,2018_NYC_Data_DHI,2018_NYC_Data_DNI,2018_NYC_Data_Temperature
11436,0,Jamaica,18681,22699295.46,NY,Queens,36,81,http://www.usps.com/,0,0,11.967,59.886,165,59.8863858,164.6553065,11.96663506
11213,0,Brooklyn,62426,29631004.44,NY,Kings,36,47,http://www.usps.com/,0,0,11.741,61.543,165,61.54315956,164.717495,11.74133801
11212,0,Brooklyn,83866,41972104.07,NY,Kings,36,47,http://www.usps.com/,0,0,11.869,61.739,159,61.73914411,159.1399946,11.86882323
11225,0,Brooklyn,56527,23698630.12,NY,Kings,36,47,http://www.usps.com/,0,0,11.901,60.64,167,60.64010577,167.1261827,11.90072149
11218,0,Brooklyn,72280,36868798.99,NY,Kings,36,47,http://www.usps.com/,0,0,11.677,61.294,167,61.29448365,166.510785,11.67705696
11226,0,Brooklyn,106132,39408598.28,NY,Kings,36,47,http://www.usps.com/,0,0,11.901,60.64,167,60.64010577,167.1261827,11.90072149
11219,0,Brooklyn,92561,42002738.47,NY,Kings,36,47,http://www.usps.com/,0,0,11.677,61.294,167,61.29448365,166.510785,11.67705696
11210,0,Brooklyn,67067,47887022.99,NY,Kings,36,47,http://www.usps.com/,0,0,11.991,60.775,166,60.77538882,165.7813519,11.99113269
11230,0,Brooklyn,80857,49926703.39,NY,Kings,36,47,http://www.usps.com/,0,0,11.845,61.188,163,61.18763201,163.4332296,11.84532026
11204,0,Brooklyn,77354,43555184.61,NY,Kings,36,47,http://www.usps.com/,0,0,11.845,61.188,163,61.18763201,163.4332296,11.84532026
10471,0,Bronx,23477,89651407.06,NY,Bronx,36,5,http://www.usps.com/,0,0,11.248,60.328,164,60.32810527,164.200799,11.24823525
10470,0,Bronx,14740,21543461.58,NY,Bronx,36,5,http://www.usps.com/,0,0,11.244,60.221,169,60.22143444,169.397623,11.24428329
10466,0,Bronx,68942,55262490.61,NY,Bronx,36,5,http://www.usps.com/,0,0,11.244,60.221,169,60.22143444,169.397623,11.24428329
10467,0,Bronx,97932,69336166.37,NY,Bronx,36,5,http://www.usps.com/,0,0,11.244,60.221,169,60.22143444,169.397623,11.24428329
10463,0,Bronx,70641,36703381.51,NY,Bronx,36,5,http://www.usps.com/,0,0,11.248,60.328,164,60.32810527,164.200799,11.24823525
10475,0,Bronx,40931,38633296.93,NY,Bronx,36,5,http://www.usps.com/,0,0,11.312,60.496,166,60.49621442,165.7162549,11.31195311
